CPV Code,Name,Description
03320000,"Kveg,",levende dyr og smådyrKvegStorfeKalverHusdyrbestandSauGeiterHesterSvinLevende fjærkreSmådyrKaninerHarer
03324000,Levende,fjærkre
03330000,Husdyr,og produkter heravFersk melk fra sau og geiterMelk fra sauMelk fra geiterUll og dyrehårKlippet ullDyrehårFersk kumelk
03331000,Fersk,melk fra sau og geiterMelk fra sauMelk fra geiter
03331100,Melk,fra sau
03331200,Melk,fra geiter
03332000,Ull,og dyrehårKlippet ullDyrehår
03332100,Klippet,ull
03333000,Fersk,kumelk
03340000,Øremerker,til dyrØremerker til kveg
03341000,Øremerker,til kveg
03400000,Skog,"og tømmerprodukterTrevirkeBartrærTropiske tresorterVed til brenselUbehandlet treBløtt treSpilltreTreavfallSagsponTømmerstokkerHardt treTømmerTømmer produkterGruvetømmerGummierBalsatreSkjellakkKorkNaturkorkKurvprodukterFlettverkerSkogbruksprodukterPrydplanter, gress, mose og lavPlanteskoleprodukterPlanterVekster til utplantingBlomsterløkBuskerTrærBløt masseTremasseKjemisk tremasse"
03410000,Trevirke,tresorterVed til brenselUbehandlet treBløtt treSpilltreTreavfallSagsponTømmerstokkerHardt treTømmerTømmer produkterGruvetømmer
03411000,Bartrær,tresorterVed til brenselUbehandlet treBløtt treSpilltreTreavfallSagsponTømmerstokkerHardt treTømmerTømmer produkterGruvetømmer
03412000,Tropiske,tresorterVed til brenselUbehandlet treBløtt treSpilltreTreavfallSagsponTømmerstokkerHardt treTømmerTømmer produkterGruvetømmer | tresorter
03413000,Ved,til brensel
03414000,Ubehandlet,tre
03415000,Bløtt,tre
03418000,Tømmerstokker,tre
03418100,Hardt,tre | tre
03419000,Tømmer,produkterGruvetømmer
03419100,Tømmer,produkterGruvetømmer | produkter
03440000,Skogbruksprodukter,"gress, mose og lav"
03441000,"Prydplanter,","gress, mose og lav | gress, mose og lav"
03450000,Planteskoleprodukter,til utplantingBlomsterløkBuskerTrær
03451000,Planter,til utplantingBlomsterløkBuskerTrær | til utplantingBlomsterløkBusker
03451100,Vekster,til utplantingBlomsterløkBuskerTrær | til utplantingBlomsterløkBusker | til utplanting
03460000,Bløt,masseTremasseKjemisk tremasse
03461000,Tremasse,tremasse
03461100,Kjemisk,tremasse | tremasse
